"Sample
glucose(mg/dL)",Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,,,,,,,,,,,,,
A* - 70,,5.3,6.3,6.2,,6,8.6,,6.4,6.7,6.9,,5.8,,,4.6,,,,,,,,,,,,,,
B* - 90,,6.6,,7.5,,5.9,9.2,,7.7,7.5,7.3,,6.7,,,5.8,,,,,,,,,,,,,,
C* - 110,,9.4,10.9,9.4,9.1,13.9,14.6,,10.2,10.1,9.6,,9.4,10.3,,8.6,,,,,,,,,,,,,,
D* - 130,,10.8,,11.1,,16.7,18.1,,11.3,11.3,11.9,,10.6,,,8.9,,,,,,,,,,,,,,
F* - 1000,1.4,2.1,low,2.2,2.3,2.6,2.8,,5.3,4.8,4.9,,1.9,1.9,,11,,,,,,,,,,,,,,
G* - 90 + Lemon,,8.3,,8.3,8.1,10.3,10.8,,9,8.3,8.5,,8.3,8.3,,8.7,,,,,,,,,,,,,,
H* - 100,,7.9,,,,,,,,,,,8.8,,,7.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A* - 70,,2.6,,3.8,,,,,,E-2 error for both machines,,,2.6,2.8,,2.6,,,,,,,,,,,,,,
B* - 90,,3.2,,3.9,3.8,,,,3.8,3.3,3.7,,3.2,,,3.2,,,,,,,,,,,,,,
C* - 110,,5.1,,4.9,,,,,4.7,E-2,4.7,,4.6,5.1,,4.7,,,,,,,,,,,,,,
D* - 130,,6,,5.4,5.8,,,,5.9,8.1,5.3,,6,,,6.1,,,,,,,,,,,,,,
F* - 1000,,low,4.1,error!,,,,,E-2,E-0,E-2,,N/A,,,error - E2,,,,,,,,,,,,,,
G* - 90 + Lemon,,3.8,,3.6,3.9,,,,E-2,,,,E-02,3.8,,3.9,,,,,,,,,,,,,,
H* - 100,,4.5,4.1,,,,,,,,,,E-02,4.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A* - 70,3.2,3.1,3.1,3.1,,3.6,,,3.1,3,3.2,,3,,,3.1,,,,,,,,,,,,,,
B* - 90,,3.3,,4.1,,4.2,,,4.1,4.1,4,,3.4,,,3.4,,,,,,,,,,,,,,
C* - 110,4.9,5,,4.9,,5.7,,,5,5.2,5.1,,5.1,5,,4.6,5.2,,,,,,,,,,,,,
D* - 130,6,error,6,6.1,,6.1,,,E-7 error,6.1,5.9,,5.9,,,6.2,,,,,,,,,,,,,,
F* - 1000,Low,1.1,,0.9,1.1,1.1,1.1,,2.7,2.7,2.8,,1.2,,,0.8,,,,,,,,,,,,,,
G* - 90 + Lemon,3,4.2,,4,,4.2,,,4.6,4.1,4.2,,4.2,,,4,4.1,,,,,,,,,,,,,
H* - 100,,4.5,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
